"Folkmängd efter region, civilstånd, ålder, kön och år"

"region";"civilstånd";"ålder";"kön";"2020"
"SE110 Stockholms län";"ogifta";"48 år";"kvinnor";4424
"SE110 Stockholms län";"ogifta";"49 år";"män";5270
"SE110 Stockholms län";"ogifta";"49 år";"kvinnor";4341
"SE110 Stockholms län";"ogifta";"50 år";"män";4727
"SE110 Stockholms län";"ogifta";"50 år";"kvinnor";4027
"SE110 Stockholms län";"ogifta";"51 år";"män";4447
"SE110 Stockholms län";"ogifta";"51 år";"kvinnor";3789
"SE110 Stockholms län";"ogifta";"52 år";"män";4541
"SE110 Stockholms län";"ogifta";"52 år";"kvinnor";3880
"SE110 Stockholms län";"ogifta";"53 år";"män";4607
"SE110 Stockholms län";"ogifta";"53 år";"kvinnor";4034
"SE110 Stockholms län";"ogifta";"54 år";"män";4711
"SE110 Stockholms län";"ogifta";"54 år";"kvinnor";4170
"SE110 Stockholms län";"ogifta";"55 år";"män";4536
"SE110 Stockholms län";"ogifta";"55 år";"kvinnor";3982
"SE110 Stockholms län";"ogifta";"56 år";"män";4568
"SE110 Stockholms län";"ogifta";"56 år";"kvinnor";3966
"SE110 Stockholms län";"ogifta";"57 år";"män";3988
"SE110 Stockholms län";"ogifta";"57 år";"kvinnor";3569
"SE110 Stockholms län";"ogifta";"58 år";"män";3735
"SE110 Stockholms län";"ogifta";"58 år";"kvinnor";3334
"SE110 Stockholms län";"ogifta";"59 år";"män";3499
"SE110 Stockholms län";"ogifta";"59 år";"kvinnor";3034
"SE110 Stockholms län";"ogifta";"60 år";"män";3154
"SE110 Stockholms län";"ogifta";"60 år";"kvinnor";2833
"SE110 Stockholms län";"ogifta";"61 år";"män";3075
"SE110 Stockholms län";"ogifta";"61 år";"kvinnor";2638
"SE110 Stockholms län";"ogifta";"62 år";"män";2964
"SE110 Stockholms län";"ogifta";"62 år";"kvinnor";2674
"SE110 Stockholms län";"ogifta";"63 år";"män";2756
"SE110 Stockholms län";"ogifta";"63 år";"kvinnor";2460
"SE110 Stockholms län";"ogifta";"64 år";"män";2592
"SE110 Stockholms län";"ogifta";"64 år";"kvinnor";2277
"SE110 Stockholms län";"ogifta";"65 år";"män";2395
"SE110 Stockholms län";"ogifta";"65 år";"kvinnor";2085
"SE110 Stockholms län";"ogifta";"66 år";"män";2154
"SE110 Stockholms län";"ogifta";"66 år";"kvinnor";1902
"SE110 Stockholms län";"ogifta";"67 år";"män";2087
"SE110 Stockholms län";"ogifta";"67 år";"kvinnor";1888
"SE110 Stockholms län";"ogifta";"68 år";"män";1937
"SE110 Stockholms län";"ogifta";"68 år";"kvinnor";1853
"SE110 Stockholms län";"ogifta";"69 år";"män";1821
"SE110 Stockholms län";"ogifta";"69 år";"kvinnor";1685
"SE110 Stockholms län";"ogifta";"70 år";"män";1603
"SE110 Stockholms län";"ogifta";"70 år";"kvinnor";1579
"SE110 Stockholms län";"ogifta";"71 år";"män";1603
"SE110 Stockholms län";"ogifta";"71 år";"kvinnor";1630
"SE110 Stockholms län";"ogifta";"72 år";"män";1487
"SE110 Stockholms län";"ogifta";"72 år";"kvinnor";1598
"SE110 Stockholms län";"ogifta";"73 år";"män";1455
"SE110 Stockholms län";"ogifta";"73 år";"kvinnor";1427
"SE110 Stockholms län";"ogifta";"74 år";"män";1437
"SE110 Stockholms län";"ogifta";"74 år";"kvinnor";1342
"SE110 Stockholms län";"ogifta";"75 år";"män";1277
"SE110 Stockholms län";"ogifta";"75 år";"kvinnor";1245
"SE110 Stockholms län";"ogifta";"76 år";"män";1124
"SE110 Stockholms län";"ogifta";"76 år";"kvinnor";1088
"SE110 Stockholms län";"ogifta";"77 år";"män";892
"SE110 Stockholms län";"ogifta";"77 år";"kvinnor";941
"SE110 Stockholms län";"ogifta";"78 år";"män";695
"SE110 Stockholms län";"ogifta";"78 år";"kvinnor";794
"SE110 Stockholms län";"ogifta";"79 år";"män";588
"SE110 Stockholms län";"ogifta";"79 år";"kvinnor";609
"SE110 Stockholms län";"ogifta";"80 år";"män";468
"SE110 Stockholms län";"ogifta";"80 år";"kvinnor";511
"SE110 Stockholms län";"ogifta";"81 år";"män";364
"SE110 Stockholms län";"ogifta";"81 år";"kvinnor";484
"SE110 Stockholms län";"ogifta";"82 år";"män";304
"SE110 Stockholms län";"ogifta";"82 år";"kvinnor";406
"SE110 Stockholms län";"ogifta";"83 år";"män";238
"SE110 Stockholms län";"ogifta";"83 år";"kvinnor";352
"SE110 Stockholms län";"ogifta";"84 år";"män";218
"SE110 Stockholms län";"ogifta";"84 år";"kvinnor";319
"SE110 Stockholms län";"ogifta";"85 år";"män";167
"SE110 Stockholms län";"ogifta";"85 år";"kvinnor";272
"SE110 Stockholms län";"ogifta";"86 år";"män";131
"SE110 Stockholms län";"ogifta";"86 år";"kvinnor";233
"SE110 Stockholms län";"ogifta";"87 år";"män";107
"SE110 Stockholms län";"ogifta";"87 år";"kvinnor";212
"SE110 Stockholms län";"ogifta";"88 år";"män";92
"SE110 Stockholms län";"ogifta";"88 år";"kvinnor";167
"SE110 Stockholms län";"ogifta";"89 år";"män";72
"SE110 Stockholms län";"ogifta";"89 år";"kvinnor";165
"SE110 Stockholms län";"ogifta";"90 år";"män";60
"SE110 Stockholms län";"ogifta";"90 år";"kvinnor";121
"SE110 Stockholms län";"ogifta";"91 år";"män";41
"SE110 Stockholms län";"ogifta";"91 år";"kvinnor";118
"SE110 Stockholms län";"ogifta";"92 år";"män";46
"SE110 Stockholms län";"ogifta";"92 år";"kvinnor";111
"SE110 Stockholms län";"ogifta";"93 år";"män";23
"SE110 Stockholms län";"ogifta";"93 år";"kvinnor";94
"SE110 Stockholms län";"ogifta";"94 år";"män";16
"SE110 Stockholms län";"ogifta";"94 år";"kvinnor";67
"SE110 Stockholms län";"ogifta";"95 år";"män";17
"SE110 Stockholms län";"ogifta";"95 år";"kvinnor";40
"SE110 Stockholms län";"ogifta";"96 år";"män";9
"SE110 Stockholms län";"ogifta";"96 år";"kvinnor";43
"SE110 Stockholms län";"ogifta";"97 år";"män";9
"SE110 Stockholms län";"ogifta";"97 år";"kvinnor";41
"SE110 Stockholms län";"ogifta";"98 år";"män";2
"SE110 Stockholms län";"ogifta";"98 år";"kvinnor";22
"SE110 Stockholms län";"ogifta";"99 år";"män";0
"SE110 Stockholms län";"ogifta";"99 år";"kvinnor";15
"SE110 Stockholms län";"ogifta";"100+ år";"män";4
"SE110 Stockholms län";"ogifta";"100+ år";"kvinnor";23
"SE110 Stockholms län";"gifta";"0 år";"män";0
"SE110 Stockholms län";"gifta";"0 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"1 år";"män";0
"SE110 Stockholms län";"gifta";"1 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"2 år";"män";0
"SE110 Stockholms län";"gifta";"2 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"3 år";"män";0
"SE110 Stockholms län";"gifta";"3 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"4 år";"män";0
"SE110 Stockholms län";"gifta";"4 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"5 år";"män";0
"SE110 Stockholms län";"gifta";"5 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"6 år";"män";0
"SE110 Stockholms län";"gifta";"6 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"7 år";"män";0
"SE110 Stockholms län";"gifta";"7 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"8 år";"män";0
"SE110 Stockholms län";"gifta";"8 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"9 år";"män";0
"SE110 Stockholms län";"gifta";"9 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"10 år";"män";0
"SE110 Stockholms län";"gifta";"10 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"11 år";"män";0
"SE110 Stockholms län";"gifta";"11 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"12 år";"män";0
"SE110 Stockholms län";"gifta";"12 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"13 år";"män";0
"SE110 Stockholms län";"gifta";"13 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"14 år";"män";0
"SE110 Stockholms län";"gifta";"14 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"15 år";"män";0
"SE110 Stockholms län";"gifta";"15 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"16 år";"män";0
"SE110 Stockholms län";"gifta";"16 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"17 år";"män";0
"SE110 Stockholms län";"gifta";"17 år";"kvinnor";0
"SE110 Stockholms län";"gifta";"18 år";"män";4
"SE110 Stockholms län";"gifta";"18 år";"kvinnor";7
"SE110 Stockholms län";"gifta";"19 år";"män";10
"SE110 Stockholms län";"gifta";"19 år";"kvinnor";52
"SE110 Stockholms län";"gifta";"20 år";"män";20
"SE110 Stockholms län";"gifta";"20 år";"kvinnor";135
"SE110 Stockholms län";"gifta";"21 år";"män";56
"SE110 Stockholms län";"gifta";"21 år";"kvinnor";259
"SE110 Stockholms län";"gifta";"22 år";"män";105
"SE110 Stockholms län";"gifta";"22 år";"kvinnor";455
"SE110 Stockholms län";"gifta";"23 år";"män";174
"SE110 Stockholms län";"gifta";"23 år";"kvinnor";654
"SE110 Stockholms län";"gifta";"24 år";"män";290
"SE110 Stockholms län";"gifta";"24 år";"kvinnor";1066
"SE110 Stockholms län";"gifta";"25 år";"män";581
"SE110 Stockholms län";"gifta";"25 år";"kvinnor";1441
"SE110 Stockholms län";"gifta";"26 år";"män";833
"SE110 Stockholms län";"gifta";"26 år";"kvinnor";1994
"SE110 Stockholms län";"gifta";"27 år";"män";1326
"SE110 Stockholms län";"gifta";"27 år";"kvinnor";2683
"SE110 Stockholms län";"gifta";"28 år";"män";1864
"SE110 Stockholms län";"gifta";"28 år";"kvinnor";3513
"SE110 Stockholms län";"gifta";"29 år";"män";2727
"SE110 Stockholms län";"gifta";"29 år";"kvinnor";4469
"SE110 Stockholms län";"gifta";"30 år";"män";3655
"SE110 Stockholms län";"gifta";"30 år";"kvinnor";5668
"SE110 Stockholms län";"gifta";"31 år";"män";4464
"SE110 Stockholms län";"gifta";"31 år";"kvinnor";6415
"SE110 Stockholms län";"gifta";"32 år";"män";5259
"SE110 Stockholms län";"gifta";"32 år";"kvinnor";7123
"SE110 Stockholms län";"gifta";"33 år";"män";5700
"SE110 Stockholms län";"gifta";"33 år";"kvinnor";7481
"SE110 Stockholms län";"gifta";"34 år";"män";6606
"SE110 Stockholms län";"gifta";"34 år";"kvinnor";8059
"SE110 Stockholms län";"gifta";"35 år";"män";7162
"SE110 Stockholms län";"gifta";"35 år";"kvinnor";8139
"SE110 Stockholms län";"gifta";"36 år";"män";7590
"SE110 Stockholms län";"gifta";"36 år";"kvinnor";8428
"SE110 Stockholms län";"gifta";"37 år";"män";7857
"SE110 Stockholms län";"gifta";"37 år";"kvinnor";8423
"SE110 Stockholms län";"gifta";"38 år";"män";8438
"SE110 Stockholms län";"gifta";"38 år";"kvinnor";8550
"SE110 Stockholms län";"gifta";"39 år";"män";8438
"SE110 Stockholms län";"gifta";"39 år";"kvinnor";8719
"SE110 Stockholms län";"gifta";"40 år";"män";8945
"SE110 Stockholms län";"gifta";"40 år";"kvinnor";9032
"SE110 Stockholms län";"gifta";"41 år";"män";8707
"SE110 Stockholms län";"gifta";"41 år";"kvinnor";8829
"SE110 Stockholms län";"gifta";"42 år";"män";8427
"SE110 Stockholms län";"gifta";"42 år";"kvinnor";8435
"SE110 Stockholms län";"gifta";"43 år";"män";8573
"SE110 Stockholms län";"gifta";"43 år";"kvinnor";8569
"SE110 Stockholms län";"gifta";"44 år";"män";8785
"SE110 Stockholms län";"gifta";"44 år";"kvinnor";8544
"SE110 Stockholms län";"gifta";"45 år";"män";8991
"SE110 Stockholms län";"gifta";"45 år";"kvinnor";8664
"SE110 Stockholms län";"gifta";"46 år";"män";9372
"SE110 Stockholms län";"gifta";"46 år";"kvinnor";9126
"SE110 Stockholms län";"gifta";"47 år";"män";9379
"SE110 Stockholms län";"gifta";"47 år";"kvinnor";9017
"SE110 Stockholms län";"gifta";"48 år";"män";9443
"SE110 Stockholms län";"gifta";"48 år";"kvinnor";8862
"SE110 Stockholms län";"gifta";"49 år";"män";9018
"SE110 Stockholms län";"gifta";"49 år";"kvinnor";8662
"SE110 Stockholms län";"gifta";"50 år";"män";8764
"SE110 Stockholms län";"gifta";"50 år";"kvinnor";8200
"SE110 Stockholms län";"gifta";"51 år";"män";8243
"SE110 Stockholms län";"gifta";"51 år";"kvinnor";7719
"SE110 Stockholms län";"gifta";"52 år";"män";8194
"SE110 Stockholms län";"gifta";"52 år";"kvinnor";7962
"SE110 Stockholms län";"gifta";"53 år";"män";8517
"SE110 Stockholms län";"gifta";"53 år";"kvinnor";7692
"SE110 Stockholms län";"gifta";"54 år";"män";8429
"SE110 Stockholms län";"gifta";"54 år";"kvinnor";7717
"SE110 Stockholms län";"gifta";"55 år";"män";8301
"SE110 Stockholms län";"gifta";"55 år";"kvinnor";7738
"SE110 Stockholms län";"gifta";"56 år";"män";8298
"SE110 Stockholms län";"gifta";"56 år";"kvinnor";7585
"SE110 Stockholms län";"gifta";"57 år";"män";7587
"SE110 Stockholms län";"gifta";"57 år";"kvinnor";6974
"SE110 Stockholms län";"gifta";"58 år";"män";7191
"SE110 Stockholms län";"gifta";"58 år";"kvinnor";6625
"SE110 Stockholms län";"gifta";"59 år";"män";6861
"SE110 Stockholms län";"gifta";"59 år";"kvinnor";6192
"SE110 Stockholms län";"gifta";"60 år";"män";6616
"SE110 Stockholms län";"gifta";"60 år";"kvinnor";6020
"SE110 Stockholms län";"gifta";"61 år";"män";6487
"SE110 Stockholms län";"gifta";"61 år";"kvinnor";5814
"SE110 Stockholms län";"gifta";"62 år";"män";6274
"SE110 Stockholms län";"gifta";"62 år";"kvinnor";5731
"SE110 Stockholms län";"gifta";"63 år";"män";6410
"SE110 Stockholms län";"gifta";"63 år";"kvinnor";5597
"SE110 Stockholms län";"gifta";"64 år";"män";6202
"SE110 Stockholms län";"gifta";"64 år";"kvinnor";5487
"SE110 Stockholms län";"gifta";"65 år";"män";5812
"SE110 Stockholms län";"gifta";"65 år";"kvinnor";5345
"SE110 Stockholms län";"gifta";"66 år";"män";5671
"SE110 Stockholms län";"gifta";"66 år";"kvinnor";5096
"SE110 Stockholms län";"gifta";"67 år";"män";5553
"SE110 Stockholms län";"gifta";"67 år";"kvinnor";5029
"SE110 Stockholms län";"gifta";"68 år";"män";5610
"SE110 Stockholms län";"gifta";"68 år";"kvinnor";4938
"SE110 Stockholms län";"gifta";"69 år";"män";5188
"SE110 Stockholms län";"gifta";"69 år";"kvinnor";4865
"SE110 Stockholms län";"gifta";"70 år";"män";5725
"SE110 Stockholms län";"gifta";"70 år";"kvinnor";4991
"SE110 Stockholms län";"gifta";"71 år";"män";5420
"SE110 Stockholms län";"gifta";"71 år";"kvinnor";5082
"SE110 Stockholms län";"gifta";"72 år";"män";5655
"SE110 Stockholms län";"gifta";"72 år";"kvinnor";5121
"SE110 Stockholms län";"gifta";"73 år";"män";5871
"SE110 Stockholms län";"gifta";"73 år";"kvinnor";5346
"SE110 Stockholms län";"gifta";"74 år";"män";5722
"SE110 Stockholms län";"gifta";"74 år";"kvinnor";5075
"SE110 Stockholms län";"gifta";"75 år";"män";5740
"SE110 Stockholms län";"gifta";"75 år";"kvinnor";4895
"SE110 Stockholms län";"gifta";"76 år";"män";5618
"SE110 Stockholms län";"gifta";"76 år";"kvinnor";4633
"SE110 Stockholms län";"gifta";"77 år";"män";5087
"SE110 Stockholms län";"gifta";"77 år";"kvinnor";4075
"SE110 Stockholms län";"gifta";"78 år";"män";4519
"SE110 Stockholms län";"gifta";"78 år";"kvinnor";3511
"SE110 Stockholms län";"gifta";"79 år";"män";3655
"SE110 Stockholms län";"gifta";"79 år";"kvinnor";2824
"SE110 Stockholms län";"gifta";"80 år";"män";3316
"SE110 Stockholms län";"gifta";"80 år";"kvinnor";2340
"SE110 Stockholms län";"gifta";"81 år";"män";2988
"SE110 Stockholms län";"gifta";"81 år";"kvinnor";2091
"SE110 Stockholms län";"gifta";"82 år";"män";2714
"SE110 Stockholms län";"gifta";"82 år";"kvinnor";1811
"SE110 Stockholms län";"gifta";"83 år";"män";2274
"SE110 Stockholms län";"gifta";"83 år";"kvinnor";1581
"SE110 Stockholms län";"gifta";"84 år";"män";2026
"SE110 Stockholms län";"gifta";"84 år";"kvinnor";1324
"SE110 Stockholms län";"gifta";"85 år";"män";1707
"SE110 Stockholms län";"gifta";"85 år";"kvinnor";991
"SE110 Stockholms län";"gifta";"86 år";"män";1330
"SE110 Stockholms län";"gifta";"86 år";"kvinnor";845
"SE110 Stockholms län";"gifta";"87 år";"män";1161
"SE110 Stockholms län";"gifta";"87 år";"kvinnor";616
"SE110 Stockholms län";"gifta";"88 år";"män";957
"SE110 Stockholms län";"gifta";"88 år";"kvinnor";559
"SE110 Stockholms län";"gifta";"89 år";"män";776
"SE110 Stockholms län";"gifta";"89 år";"kvinnor";395
"SE110 Stockholms län";"gifta";"90 år";"män";597
"SE110 Stockholms län";"gifta";"90 år";"kvinnor";325
"SE110 Stockholms län";"gifta";"91 år";"män";452
"SE110 Stockholms län";"gifta";"91 år";"kvinnor";234
"SE110 Stockholms län";"gifta";"92 år";"män";322
"SE110 Stockholms län";"gifta";"92 år";"kvinnor";194
"SE110 Stockholms län";"gifta";"93 år";"män";262
"SE110 Stockholms län";"gifta";"93 år";"kvinnor";114
"SE110 Stockholms län";"gifta";"94 år";"män";157
"SE110 Stockholms län";"gifta";"94 år";"kvinnor";74
"SE110 Stockholms län";"gifta";"95 år";"män";119
"SE110 Stockholms län";"gifta";"95 år";"kvinnor";59
"SE110 Stockholms län";"gifta";"96 år";"män";73
"SE110 Stockholms län";"gifta";"96 år";"kvinnor";22
"SE110 Stockholms län";"gifta";"97 år";"män";54
"SE110 Stockholms län";"gifta";"97 år";"kvinnor";27
"SE110 Stockholms län";"gifta";"98 år";"män";27
"SE110 Stockholms län";"gifta";"98 år";"kvinnor";10
"SE110 Stockholms län";"gifta";"99 år";"män";8
"SE110 Stockholms län";"gifta";"99 år";"kvinnor";12
"SE110 Stockholms län";"gifta";"100+ år";"män";19
"SE110 Stockholms län";"gifta";"100+ år";"kvinnor";10
"SE110 Stockholms län";"skilda";"0 år";"män";0
"SE110 Stockholms län";"skilda";"0 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"1 år";"män";0
"SE110 Stockholms län";"skilda";"1 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"2 år";"män";0
"SE110 Stockholms län";"skilda";"2 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"3 år";"män";0
"SE110 Stockholms län";"skilda";"3 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"4 år";"män";0
"SE110 Stockholms län";"skilda";"4 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"5 år";"män";0
"SE110 Stockholms län";"skilda";"5 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"6 år";"män";0
"SE110 Stockholms län";"skilda";"6 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"7 år";"män";0
"SE110 Stockholms län";"skilda";"7 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"8 år";"män";0
"SE110 Stockholms län";"skilda";"8 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"9 år";"män";0
"SE110 Stockholms län";"skilda";"9 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"10 år";"män";0
"SE110 Stockholms län";"skilda";"10 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"11 år";"män";0
"SE110 Stockholms län";"skilda";"11 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"12 år";"män";0
"SE110 Stockholms län";"skilda";"12 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"13 år";"män";0
"SE110 Stockholms län";"skilda";"13 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"14 år";"män";0
"SE110 Stockholms län";"skilda";"14 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"15 år";"män";0
"SE110 Stockholms län";"skilda";"15 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"16 år";"män";0
"SE110 Stockholms län";"skilda";"16 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"17 år";"män";0
"SE110 Stockholms län";"skilda";"17 år";"kvinnor";0
"SE110 Stockholms län";"skilda";"18 år";"män";0
"SE110 Stockholms län";"skilda";"18 år";"kvinnor";1
"SE110 Stockholms län";"skilda";"19 år";"män";0
"SE110 Stockholms län";"skilda";"19 år";"kvinnor";2
"SE110 Stockholms län";"skilda";"20 år";"män";1
"SE110 Stockholms län";"skilda";"20 år";"kvinnor";2
"SE110 Stockholms län";"skilda";"21 år";"män";0
"SE110 Stockholms län";"skilda";"21 år";"kvinnor";9
"SE110 Stockholms län";"skilda";"22 år";"män";4
"SE110 Stockholms län";"skilda";"22 år";"kvinnor";29
"SE110 Stockholms län";"skilda";"23 år";"män";10
"SE110 Stockholms län";"skilda";"23 år";"kvinnor";70
"SE110 Stockholms län";"skilda";"24 år";"män";30
"SE110 Stockholms län";"skilda";"24 år";"kvinnor";85
"SE110 Stockholms län";"skilda";"25 år";"män";48
"SE110 Stockholms län";"skilda";"25 år";"kvinnor";155
"SE110 Stockholms län";"skilda";"26 år";"män";78
"SE110 Stockholms län";"skilda";"26 år";"kvinnor";248
"SE110 Stockholms län";"skilda";"27 år";"män";124
"SE110 Stockholms län";"skilda";"27 år";"kvinnor";294
"SE110 Stockholms län";"skilda";"28 år";"män";202
"SE110 Stockholms län";"skilda";"28 år";"kvinnor";407
